offer_id,skill_name,skill_level,skill_level_name
0,Python,4,Advanced
0,API,4,Advanced
0,fastapi,4,Advanced
0,Machine Learning,4,Advanced
0,Flask,3,Regular
0,Django,3,Regular
0,TensorFlow,3,Regular
0,Docker,3,Regular
0,Cloud,3,Regular
0,AWS,3,Regular
1,English,4,Advanced
1,TypeScript,3,Regular
1,HTML5 / CSS3,3,Regular
1,Node.js,3,Regular
1,AI,3,Regular
1,Docker,3,Regular
1,JavaScript,3,Regular
2,Android,4,Advanced
2,Kotlin,4,Advanced
2,Python,4,Advanced
2,AI,4,Advanced
3,Architecture,4,Advanced
3,Software Development,4,Advanced
3,Leadership,4,Advanced
3,Vertex AI,4,Advanced
3,AI,4,Advanced
3,Data,3,Regular
4,Polish,Nan,B2
4,English,Nan,B2
4,Deep Learning,5,Master
4,Python,5,Master
4,GenAI,4,Advanced
4,Azure,4,Advanced
4,GCP,4,Advanced
4,Databricks,3,Regular
5,C#,3,Regular
5,MS Azure,3,Regular
5,ASP.NET,3,Regular
5,DDD,3,Regular
5,Onion Architecture,3,Regular
5,TDD,3,Regular
6,Azure,4,Advanced
6,Spark,3,Regular
6,Hadoop,3,Regular
6,Machine Learning,3,Regular
6,Data Science,3,Regular
7,AWS,3,Regular
7,PyTorch,3,Regular
7,scikit learn,3,Regular
7,NumPy,3,Regular
7,Docker,3,Regular
7,Kubernetes,3,Regular
7,Pandas,3,Regular
8,AI,4,Advanced
8,Python,4,Advanced
8,Git,3,Regular
8,PyTorch,3,Regular
8,TensorFlow,3,Regular
8,Linux,3,Regular
8,Keras,3,Regular
8,C++,2,Junior
8,Docker,2,Junior
8,Kubernetes,2,Junior
9,Machine Learning,4,Advanced
9,AWS,4,Advanced
9,AI,4,Advanced
9,Python,4,Advanced
9,Data Science,4,Advanced
9,LLM,4,Advanced
9,Docker,3,Regular
9,Kubernetes,3,Regular
9,GenAI,3,Regular
9,Snowflake,1,Nice To Have
10,Python,4,Advanced
10,Apache Spark,4,Advanced
10,SQL,4,Advanced
10,Data Science,4,Advanced
10,Ray,1,Nice To Have
10,Deep Learning,1,Nice To Have
11,AI,3,Regular
11,Docker,3,Regular
11,JavaScript,3,Regular
11,Python,3,Regular
11,CI/CD,1,Nice To Have
11,Terraform,1,Nice To Have
11,Kubernetes,1,Nice To Have
12,CI/CD,4,Advanced
12,AI,4,Advanced
12,Docker,4,Advanced
12,Kubernetes,4,Advanced
12,Python,4,Advanced
13,AI,3,Regular
13,Python,3,Regular
14,GenAI,4,Advanced
14,Microsoft Azure,4,Advanced
14,AI/ML Analytics,4,Advanced
14,NLP,4,Advanced
14,C++,4,Advanced
14,LLMs,4,Advanced
14,PyTorch,4,Advanced
14,TensorFlow,4,Advanced
14,JavaScript,4,Advanced
14,Python,4,Advanced
15,Machine Learning,4,Advanced
15,Microsoft Azure,4,Advanced
15,CI/CD,3,Regular
15,Docker,3,Regular
15,TensorFlow,3,Regular
15,Python,3,Regular
15,Kubernete,3,Regular
15,PyTorch,2,Junior
16,Python,5,Master
16,Azure,4,Advanced
16,Databricks,4,Advanced
16,MLOps,4,Advanced
