offer_id,skill_name,skill_level,skill_level_name
0,Kofax RPA,3,Regular
0,ChatGPT,3,Regular
0,Python,3,Regular
0,R,3,Regular
0,SQL,3,Regular
0,UI Path,2,Junior
0,Blue Prism,2,Junior
1,Machine Learning,3,Regular
1,Jupyter Notebook,3,Regular
1,AI,3,Regular
1,SciPy,3,Regular
1,NumPy,3,Regular
1,TensorFlow,3,Regular
1,Python,3,Regular
1,MLflow,2,Junior
1,Pandas,2,Junior
1,PyTorch,1,Nice To Have
2,Machine Learning,5,Master
2,Python,5,Master
2,Data Science,5,Master
2,PySpark,4,Advanced
2,Azure,3,Regular
2,Databricks,3,Regular
3,English,4,Advanced
3,MS Office,2,Junior
4,NLP,4,Advanced
4,LLMs,4,Advanced
4,Python,4,Advanced
4,AI,3,Regular
5,AI,4,Advanced
5,ML,4,Advanced
5,GenAI,4,Advanced
5,Python,4,Advanced
5,LLM,4,Advanced
6,AI platform,3,Regular
6,Machine Learning,3,Regular
6,AI,3,Regular
7,Machine Learning,4,Advanced
7,LLM,4,Advanced
7,Cloud,4,Advanced
7,AI,4,Advanced
7,Team Management,4,Advanced
7,Python,4,Advanced
7,Data Science,4,Advanced
7,Computer Vision,3,Regular
8,Android,4,Advanced
8,Kotlin,4,Advanced
8,Python,4,Advanced
8,AI,4,Advanced
9,Machine Learning,4,Advanced
9,Microsoft Azure,4,Advanced
9,CI/CD,3,Regular
9,Docker,3,Regular
9,TensorFlow,3,Regular
9,Python,3,Regular
9,Kubernete,3,Regular
9,PyTorch,2,Junior
10,Machine Learning,4,Advanced
10,Python,3,Regular
10,Databases,3,Regular
10,Data Warehousing,3,Regular
10,Big Data,3,Regular
10,Cloud,3,Regular
10,R,1,Nice To Have
11,Python,5,Master
11,Machine Learning,5,Master
11,TensorFlow,5,Master
11,PyTorch,5,Master
12,English,Nan,C1
12,Python,5,Master
12,Databricks,5,Master
12,Cloud,5,Master
12,Spark,3,Regular
12,PySpark,3,Regular
13,Python,4,Advanced
13,Apache Spark,4,Advanced
13,SQL,4,Advanced
13,Data Science,4,Advanced
13,Ray,1,Nice To Have
13,Deep Learning,1,Nice To Have
14,C#,4,Advanced
14,HTML,4,Advanced
14,.Net,4,Advanced
14,CSS,4,Advanced
14,JavaScript,4,Advanced
14,Cloud,3,Regular
14,RESTful API,3,Regular
14,Blazor,1,Nice To Have
14,Telerik,1,Nice To Have
14,Python,1,Nice To Have
15,English,4,Advanced
15,TypeScript,3,Regular
15,HTML5 / CSS3,3,Regular
15,Node.js,3,Regular
15,AI,3,Regular
15,Docker,3,Regular
15,JavaScript,3,Regular
16,Computer Vision,4,Advanced
16,PyTorch,4,Advanced
16,OpenCV,4,Advanced
16,Python,4,Advanced
16,AWS,3,Regular
16,Agile,3,Regular
16,vSLAM,1,Nice To Have
17,Architecture,3,Regular
17,AI,3,Regular
17,Software Architecture,3,Regular
17,Azure,2,Junior
17,Enterprise Architect,2,Junior
18,Python,5,Master
18,Machine Learning,4,Advanced
18,SQL,3,Regular
18,Data Science,3,Regular
19,C#,3,Regular
19,PostgreSQL,3,Regular
19,.Net Framework,3,Regular
19,Azure,3,Regular
19,REST API,3,Regular
19,MS SQL,3,Regular
19,Python,3,Regular
20,Kedro,4,Advanced
20,Python 3,4,Advanced
20,CI/CD pipelines,4,Advanced
20,Spark,4,Advanced
20,Airflow,1,Nice To Have
20,Django,1,Nice To Have
20,Docker,1,Nice To Have
20,Kubernetes,1,Nice To Have
20,Databricks,1,Nice To Have
21,English,Nan,B2
21,GenAI,3,Regular
21,AzureML,3,Regular
21,AzureAI,3,Regular
21,Python,3,Regular
21,Databricks,3,Regular
22,Machine Learning,5,Master
22,Ukrainian,5,Master
22,CVPR,4,Advanced
22,ICML,4,Advanced
22,Artificial Intelligence,4,Advanced
22,ICLR,4,Advanced
22,English,4,Advanced
22,NeurIPS,4,Advanced
